Dataset	Domain	Score	Sent1	Sent2
STS2012-train	SMTeuroparl	4.800	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right for a government to dismiss arbitrarily its constitution is the definition of a characteristic tyranny.
STS2012-train	SMTeuroparl	3.750	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not absolutely certain that the definition of fair price which is better than another, because the definitions used in the Member States in all amply sufficient.
STS2012-train	SMTeuroparl	4.800	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	They can in fact wish to more and better, but I think that it is a good start.
STS2012-train	SMTeuroparl	4.000	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.	It should be the real coordination of the network of national agencies which, in turn, will speed up and a network of centres of excellence of food at regional level.
STS2012-train	SMTeuroparl	4.800	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	One can indeed wish more and better, but I believe very honestly that it is a good start.
STS2012-train	SMTeuroparl	4.200	He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.	It passes in lawsuit next on January 8. It is reproached to him for having taken part in a meeting of Tunisian opponents in France, which besides it denies.
STS2012-train	SMTeuroparl	4.500	Thank you very much, Commissioner.	Thank you very much, Mr Commissioner.
STS2012-train	SMTeuroparl	4.000	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a provisional unit of judicial cooperation is a step in the right direction, not to which the European Parliament has been seeking for a long time already.
STS2012-train	SMTeuroparl	4.000	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line finance programmes of mine clearance and prevention for years.
STS2012-train	SMTeuroparl	5.000	Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.	It is obviously necessary to determine the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.
STS2012-train	SMTeuroparl	4.800	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I insist on this point because the market cannot regulate all and that, accordingly, it does not have there nor cannot have there of competition without limits.
STS2012-train	SMTeuroparl	4.400	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not absolutely certain that the definition of fair price proposed is better than another, because the different definitions are currently used in the Member States are enough is enough.
STS2012-train	SMTeuroparl	3.500	Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	Mr. President, my honourable Members, I would like to intervene on the joint resolution that obviously we will vote.
STS2012-train	SMTeuroparl	4.800	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	I also voted against a text which requires the incorporation of the Charter of the fundamental rights in the future treaty which will be adopted in Nice.
STS2012-train	SMTeuroparl	3.000	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line finances clearance programmes and of prevention since years.
STS2012-train	SMTeuroparl	5.000	Fifty-seven senators, including 24 Republicans, have signed the letter.	Of those who signed the letter, 57 are senators, including 24 Republicans.
STS2012-train	SMTeuroparl	3.000	People with the same business affairs in common are peacefully bound to one another.	The economic activities Commons generating peaceful links between people.
STS2012-train	SMTeuroparl	3.400	Spain has done a magnificent job in turning round the difficult neighbourly relations which Europe and North Africa and Spain and Morocco have suffered during the course of history.	Spain has developed a remarkably positive the difficult that always existed between Europe and North Africa and between Spain and Morocco.
STS2012-train	SMTeuroparl	3.600	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a Provisional Judicial Cooperation Unit is a step in the right direction, which the European Parliament is not a long time ago.
STS2012-train	SMTeuroparl	4.600	I would urge the French Presidency to do their utmost to overcome this divide, because it is extremely destructive.	I urge the French Presidency to do everything in its power to bridge this gap, particularly destructive.
STS2012-train	SMTeuroparl	4.400	Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?	As the European Parliament, in its resolution of 16 March 2000, that they initiatives does the Council intend to take to play a more active role in order to ensure the full and entire application of the UN peace plan?
STS2012-train	SMTeuroparl	4.200	On the contrary, the influence of the national democracies is being reduced by the further restriction of the right of veto and by the fact that the European Parliament is being given more power.	On the contrary, the power of the national restricting still further the right of veto and to give more power to the Parliament of the EU.
STS2012-train	SMTeuroparl	4.200	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I stress this because the market cannot regulate everything and that, in this sense, there cannot be any competition without limits.
STS2012-train	SMTeuroparl	3.600	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Just like the Court of the human rights, the Council of Europe has to him also a solid experiment with regard to such forms of control. We can take it for base.
STS2012-train	SMTeuroparl	4.400	Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	Mr President, ladies and gentlemen, I would like to speak on the joint resolution that obviously we vote.
STS2012-train	SMTeuroparl	4.600	I call on Prague to respond to this signal, this challenge, this plea for dialogue, to grant our request and to ensure, together with our House, that this legacy of a nationalist era can be consigned to the past.	I invite Prague to take this message, this invitation, this request for dialogue, to act and to make it so that, together with this House, these being nationalistic period relics may be abandoned.
STS2012-train	SMTeuroparl	4.600	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.	It must be the true brain coordination of the network of national agencies, which, in turn, must activate and coordinate a network of centres of excellence of food safety at regional level.
STS2012-train	SMTeuroparl	4.800	While withdrawing the resolution, however, I express the conviction that this Parliament would have made its voice heard better if, in anticipation of the Council of Nice, it had devoted a specific and separate resolution to these important and difficult topics of the Intergovernmental Conference, instead of dealing with them in a single resolution that also embraces all the other points on the Council agenda.	By withdrawing our resolution, I am, however, convinced that Parliament would have done better by making its voice heard, in view of the Nice European Council, a separate and specific resolution on the issues which are so important and so difficult for the Intergovernmental Conference, rather than treating them in the context of a single resolution including also all the other items on the agenda of the Council.
STS2012-train	SMTeuroparl	4.400	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Just as the European Court of Human Rights, the Council of Europe has also considerable experience with regard to these forms of control; we can take as a basis.
STS2012-train	SMTeuroparl	5.000	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	We have started to have discussions on this issue, making it clear that all the Member States wish to maintain this ceiling after enlargement.
STS2012-train	SMTeuroparl	5.000	Firstly, simplification and clarification of the Treaties.	Firstly, that of simplification and clarification of the Treaties.
STS2012-train	SMTeuroparl	4.800	Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.	Without doubt, was better to have no agreement only have an agreement that is bad and, in this case, the American proposal was a proposal to the rebate, totally unacceptable for Europe.
STS2012-train	SMTeuroparl	5.000	The joint debate is closed.	The joint debate is closed.
STS2012-train	SMTeuroparl	4.200	It is this kind of future I would also like to see in the other countries within the European Union.	This is a development of this kind that I wish the other Member States of the European Union.
STS2012-train	SMTeuroparl	5.000	If we want to help Indonesia we must act now with money and deeds, not merely words.	If we want to help Indonesia, we must intervene now with money and actions, and not just with words.
STS2012-train	SMTeuroparl	4.200	Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.	Without doubt, it was better to have no agreement have an agreement that is wrong and, in this case, the American proposal was a watered-down proposal totally unacceptable for Europe.
STS2012-train	SMTeuroparl	4.667	Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.	We must clearly define the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.
STS2012-train	SMTeuroparl	4.400	Lastly, and most controversially, the committee strongly called for the use of a fast-track procedure to implement this legislation.	Finally, and this is a subject more controversial, the Commission invited vigorously to use the fast-track procedure to implement this legislation.
STS2012-train	SMTeuroparl	4.400	They will keep the pressure on, and they are strengthening their position with the revenue they are generating from delivering mail above 150 grams.	They continue to put pressure. The money they earn with distribution beyond the bounds of 150 grammes allows them to strengthen their position.
STS2012-train	SMTeuroparl	4.600	If we want to help Indonesia we must act now with money and deeds, not merely words.	If we want to help Indonesia, we must speak now with money and concrete action, and not just with words.
STS2012-train	SMTeuroparl	3.800	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line is funding programmes for mine clearance and prevention for years.
STS2012-train	SMTeuroparl	2.800	Mr Gayssot, Greek ships have sunk without warning, when there were no storms in the vicinity.	Vessels, without which there is the slightest, Mr Gayssot.
STS2012-train	SMTeuroparl	4.600	I call on Prague to respond to this signal, this challenge, this plea for dialogue, to grant our request and to ensure, together with our House, that this legacy of a nationalist era can be consigned to the past.	I invite Prague to seize this sign, this invitation, this request for dialogue, to take action pursuant and to make to it so that, in.liaison.with this Parliament, these one nationalist era old relics can be abandoned.
STS2012-train	SMTeuroparl	4.600	But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	Nevertheless, I would like to say to the House this afternoon that we must not lose sight of the fact that the European Union spends only 1% of the GDP of the Member States and that the bulk of this money is managed in the Member States.
